network_code,receiver_code,receiver_type,receiver_latitude,receiver_longitude,receiver_elevation_m,p_arrival_sample,p_status,p_weight,p_travel_sec,s_arrival_sample,s_status,s_weight,source_id,source_origin_time,source_origin_uncertainty_sec,source_latitude,source_longitude,source_error_sec,source_gap_deg,source_horizontal_uncertainty_km,source_depth_km,source_depth_uncertainty_km,source_magnitude,source_magnitude_type,source_magnitude_author,source_mechanism_strike_dip_rake,source_distance_deg,source_distance_km,back_azimuth_deg,snr_db,coda_end_sample,trace_start_time,trace_category,trace_name
XX,SYN,HHN,35.0,-97.0,500.0,860,manual,1.0,8.60552238303125,2306,manual,1.0,SYNTHETIC_004,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,8.411501857279095,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHN.19700101T000000
XX,SYN,HHE,35.0,-97.0,500.0,860,manual,1.0,8.60552238303125,2306,manual,1.0,SYNTHETIC_004,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,8.411501857279095,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHE.19700101T000000
XX,SYN,HHZ,35.0,-97.0,500.0,10959,manual,1.0,109.59512352096047,11146,manual,1.0,SYNTHETIC_005,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,7.32123355058471,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHZ.19700101T000000
XX,SYN,HHN,35.0,-97.0,500.0,10959,manual,1.0,109.59512352096047,11146,manual,1.0,SYNTHETIC_005,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,7.32123355058471,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHN.19700101T000000
XX,SYN,HHE,35.0,-97.0,500.0,10959,manual,1.0,109.59512352096047,11146,manual,1.0,SYNTHETIC_005,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,7.32123355058471,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHE.19700101T000000
XX,SYN,HHZ,35.0,-97.0,500.0,10481,manual,1.0,104.81283404424808,10736,manual,1.0,SYNTHETIC_006,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,5.8440852496612985,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHZ.19700101T000000
XX,SYN,HHN,35.0,-97.0,500.0,10481,manual,1.0,104.81283404424808,10736,manual,1.0,SYNTHETIC_006,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,5.8440852496612985,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHN.19700101T000000
XX,SYN,HHE,35.0,-97.0,500.0,10481,manual,1.0,104.81283404424808,10736,manual,1.0,SYNTHETIC_006,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,5.8440852496612985,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHE.19700101T000000
XX,SYN,HHZ,35.0,-97.0,500.0,8447,manual,1.0,84.47579309548361,9820,manual,1.0,SYNTHETIC_007,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,4.765081244465455,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHZ.19700101T000000
XX,SYN,HHN,35.0,-97.0,500.0,8447,manual,1.0,84.47579309548361,9820,manual,1.0,SYNTHETIC_007,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,4.765081244465455,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHN.19700101T000000
XX,SYN,HHE,35.0,-97.0,500.0,8447,manual,1.0,84.47579309548361,9820,manual,1.0,SYNTHETIC_007,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,4.765081244465455,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHE.19700101T000000
XX,SYN,HHZ,35.0,-97.0,500.0,3375,manual,1.0,33.750639725114084,6224,manual,1.0,SYNTHETIC_008,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,9.778120693210532,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHZ.19700101T000000
XX,SYN,HHN,35.0,-97.0,500.0,3375,manual,1.0,33.750639725114084,6224,manual,1.0,SYNTHETIC_008,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,9.778120693210532,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHN.19700101T000000
XX,SYN,HHE,35.0,-97.0,500.0,3375,manual,1.0,33.750639725114084,6224,manual,1.0,SYNTHETIC_008,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,9.778120693210532,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHE.19700101T000000
XX,SYN,HHZ,35.0,-97.0,500.0,4380,manual,1.0,43.804387865375624,9277,manual,1.0,SYNTHETIC_009,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,7.01960876391062,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHZ.19700101T000000
XX,SYN,HHN,35.0,-97.0,500.0,4380,manual,1.0,43.804387865375624,9277,manual,1.0,SYNTHETIC_009,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,7.01960876391062,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHN.19700101T000000
XX,SYN,HHE,35.0,-97.0,500.0,4380,manual,1.0,43.804387865375624,9277,manual,1.0,SYNTHETIC_009,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,7.01960876391062,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHE.19700101T000000
XX,SYN,HHZ,35.0,-97.0,500.0,4942,manual,1.0,49.42924083265721,6232,manual,1.0,SYNTHETIC_010,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,4.285412542958568,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHZ.19700101T000000
XX,SYN,HHN,35.0,-97.0,500.0,4942,manual,1.0,49.42924083265721,6232,manual,1.0,SYNTHETIC_010,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,4.285412542958568,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHN.19700101T000000
XX,SYN,HHE,35.0,-97.0,500.0,4942,manual,1.0,49.42924083265721,6232,manual,1.0,SYNTHETIC_010,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,4.285412542958568,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHE.19700101T000000
XX,SYN,HHZ,35.0,-97.0,500.0,9576,manual,1.0,95.76457717744884,10255,manual,1.0,SYNTHETIC_011,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,5.151491283458459,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHZ.19700101T000000
XX,SYN,HHN,35.0,-97.0,500.0,9576,manual,1.0,95.76457717744884,10255,manual,1.0,SYNTHETIC_011,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,5.151491283458459,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHN.19700101T000000
XX,SYN,HHE,35.0,-97.0,500.0,9576,manual,1.0,95.76457717744884,10255,manual,1.0,SYNTHETIC_011,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,5.151491283458459,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHE.19700101T000000
XX,SYN,HHZ,35.0,-97.0,500.0,1678,manual,1.0,16.784300000237522,3734,manual,1.0,SYNTHETIC_012,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,7.757533553365425,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHZ.19700101T000000
XX,SYN,HHN,35.0,-97.0,500.0,1678,manual,1.0,16.784300000237522,3734,manual,1.0,SYNTHETIC_012,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,7.757533553365425,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHN.19700101T000000
XX,SYN,HHE,35.0,-97.0,500.0,1678,manual,1.0,16.784300000237522,3734,manual,1.0,SYNTHETIC_012,1970-01-01T00:00:00,,36.0,-98.0,,,,5.0,,2.0,ML,synthetic,,,,,7.757533553365425,,1970-01-01T00:00:00,earthquake_local,XX.SYN.HHE.19700101T000000
